SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,1324 E 9th,Indianapolis,IN,46202,395700,2,2.5,Hanna Heirs,1745,3703,1944,14,227,,Active,July-19-2025 12:00 AM,July-19-2025 02:00 PM,https://www.redfin.com/IN/Indianapolis/1324-E-9th-St-46202/home/82169812,MIBOR as Distributed by MLS Grid,22048198,N,Y,39.7791228,-86.1355216
MLS Listing,,Multi-Family (2-4 Unit),552 Jefferson Ave,Indianapolis,IN,46201,290000,,1658.0,Ruddells Glenwood,1243880,5227,1900,4,0,,Active,,,https://www.redfin.com/IN/Indianapolis/552-Jefferson-Ave-46201/home/82170585,MIBOR as Distributed by MLS Grid,22050236,N,Y,39.7760316,-86.1239949
MLS Listing,,Single Family Residential,1421 E Michigan St,Indianapolis,IN,46201,974900,4,2.5,North Arsenal Park,2736,6200,1920,11,356,,Active,,,https://www.redfin.com/IN/Indianapolis/1421-E-Michigan-St-46201/home/82161750,MIBOR as Distributed by MLS Grid,22048859,N,Y,39.7740591,-86.1344499
MLS Listing,,Single Family Residential,1319 E Michigan St,Indianapolis,IN,46202,450000,3,2.5,Holy Cross,2092,6447,2004,12,215,,Active,,,https://www.redfin.com/IN/Indianapolis/1319-E-Michigan-St-46202/home/66965397,MIBOR as Distributed by MLS Grid,22048694,N,Y,39.7737769,-86.1357424
MLS Listing,,Single Family Residential,1405 E Vermont St,Indianapolis,IN,46201,725000,4,3.5,Arsenal Park,3083,5793,2020,13,235,,Active,,,https://www.redfin.com/IN/Indianapolis/1405-E-Vermont-St-46201/home/82305745,MIBOR as Distributed by MLS Grid,22047693,N,Y,39.7721488,-86.1350066
MLS Listing,,Single Family Residential,2130 Brookside Pkwy Dr N,Indianapolis,IN,46201,710000,5,3.5,No Subdivision,4300,4940,2023,15,165,,Active,,,https://www.redfin.com/IN/Indianapolis/2130-Brookside-Parkway-North-Dr-46201/home/173284051,MIBOR as Distributed by MLS Grid,22047847,N,Y,39.7872237,-86.1244525
MLS Listing,,Multi-Family (2-4 Unit),2222 E 12th St,Indianapolis,IN,46201,395000,1,4446.0,Eastside,4669000,6011,1910,19,0,,Active,,,https://www.redfin.com/IN/Indianapolis/2222-E-12th-St-46201/home/82159242,MIBOR as Distributed by MLS Grid,22047325,N,Y,39.7841463,-86.1230551
MLS Listing,,Single Family Residential,430 N Keystone Ave,Indianapolis,IN,46201,385000,3,2.5,James Johnsons E Ohio St,1680,4182,2023,19,229,,Active,,,https://www.redfin.com/IN/Indianapolis/430-N-Keystone-Ave-46201/home/82309078,MIBOR as Distributed by MLS Grid,22047347,N,Y,39.773566,-86.122185
MLS Listing,,Single Family Residential,2026 E 10th St,Indianapolis,IN,46201,374900,3,2.0,Clifford Place,3757,6400,1889,19,100,,Active,,,https://www.redfin.com/IN/Indianapolis/2026-E-10th-St-46201/home/60004940,MIBOR as Distributed by MLS Grid,22046787,N,Y,39.7815139,-86.1254842
